sim_idx,mpi_era,activity,institution_ID,source_ID,Resolution,experiment_ID,member_ID,table ID,variable,grid_label,version,data_node/0,data_node,url,number_of_files,date_start,date_stop,start_count,year_step,size,grid,nominal_resolution
46,CMIP6,CMIP,NOAA-GFDL,GFDL-ESM4,MR,historical,r2i1p1f1,Omon,zos,gn,v20180701,esgdata.gfdl.noaa.gov,esgf-data1.llnl.gov,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/,9,185001,201412,0,20,1608530837,ocean data on native grid tripolar - nominal 0.5 deg latitude/longitude,50 km
47,CMIP6,CMIP,NOAA-GFDL,GFDL-ESM4,MR,historical,r3i1p1f1,Omon,zos,gn,v20180701,esgdata.gfdl.noaa.gov,esgf-data1.llnl.gov,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/,9,185001,201412,0,20,1609230890,ocean data on native grid tripolar - nominal 0.5 deg latitude/longitude,50 km
48,CMIP6,HighResMIP,NERC,HadGEM3-GC31-HH,HR,hist-1950,r1i1p1f1,Omon,zos,gn,v20200514,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,260,195001,201412,0,1,68228995154,N512,10 km
49,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-HM,HR,hist-1950,r1i1p1f1,Omon,zos,gn,v20180730,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,3136689104,N512,50 km
50,CMIP6,HighResMIP,NERC,HadGEM3-GC31-HM,HR,hist-1950,r1i2p1f1,Omon,zos,gn,v20190401,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,3129109877,N512,50 km
51,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-HM,HR,hist-1950,r1i3p1f1,Omon,zos,gn,v20190710,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,3132787302,N512,50 km
52,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-MM,MR,hist-1950,r1i1p1f1,Omon,zos,gn,v20170928,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,3147889587,N216,100 km
53,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-MM,MR,hist-1950,r1i2p1f1,Omon,zos,gn,v20190710,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,3146019685,N216,100 km
54,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-MM,MR,hist-1950,r1i3p1f1,Omon,zos,gn,v20190710,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,3145400383,N216,100 km
55,CMIP6,CMIP,MOHC,HadGEM3-GC31-MM,MR,historical,r1i1p1f3,Omon,zos,gn,v20191207,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,10,185001,201412,0,20,5517774237,Native eORCA025 tripolar primarily 1/4 deg grid; 1440 x 1205 longitude/latitude,25 km
56,CMIP6,CMIP,MOHC,HadGEM3-GC31-MM,MR,historical,r2i1p1f3,Omon,zos,gn,v20191218,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,10,185001,201412,0,20,5516675309,Native eORCA025 tripolar primarily 1/4 deg grid; 1440 x 1205 longitude/latitude,25 km
